,open,high,low,close,volume
2023-05-10,29189.41015625,29195.16015625,29070.109375,29122.1796875,87300000
2023-05-11,29110.7890625,29165.58984375,29028.7109375,29126.720703125,82200000
2023-05-12,29199.30078125,29426.060546875,29141.51953125,29388.30078125,106100000
2023-05-15,29547.0390625,29629.470703125,29475.970703125,29626.33984375,88600000
2023-05-16,29838.009765625,29916.560546875,29779.0703125,29842.990234375,107400000
2023-05-17,29912.439453125,30115.3203125,29912.439453125,30093.58984375,93100000
2023-05-18,30432.5390625,30667.130859375,30381.900390625,30573.9296875,90500000
2023-05-19,30847.359375,30924.5703125,30679.16015625,30808.349609375,80500000
2023-05-22,30735.7109375,31086.8203125,30689.26953125,31086.8203125,75400000
2023-05-23,31245.720703125,31352.529296875,30828.73046875,30957.76953125,92200000
2023-05-24,30728.689453125,30856.919921875,30566.830078125,30682.6796875,81700000
2023-05-25,30599.26953125,30889.98046875,30558.140625,30801.130859375,84000000
2023-05-26,30909.609375,31101.599609375,30864.490234375,30916.310546875,78300000
2023-05-29,31388.009765625,31560.4296875,31164.0,31233.5390625,78300000
2023-05-30,31196.240234375,31374.830078125,31064.189453125,31328.16015625,71800000
2023-05-31,31057.08984375,31142.779296875,30785.98046875,30887.880859375,184600000
2023-06-01,30886.009765625,31185.05078125,30853.439453125,31148.009765625,95100000
2023-06-02,31300.720703125,31555.5390625,31257.009765625,31524.220703125,90700000
2023-06-05,31864.119140625,32217.4296875,31798.720703125,32217.4296875,98800000
2023-06-06,31988.369140625,32534.470703125,31933.869140625,32506.779296875,82500000
2023-06-07,32618.779296875,32708.529296875,31913.740234375,31913.740234375,111900000
2023-06-08,31877.7890625,32035.94921875,31420.44921875,31641.26953125,86000000
2023-06-09,31927.380859375,32304.0390625,31898.75,32265.169921875,101500000
2023-06-12,32412.119140625,32517.6796875,32280.5390625,32434.0,68700000
2023-06-13,32668.94921875,33127.359375,32638.2109375,33018.6484375,89500000
2023-06-14,33331.46875,33665.51953125,33203.94921875,33502.421875,111600000
2023-06-15,33493.69140625,33767.12890625,33386.01171875,33485.48828125,105800000
