,open,high,low,close,volume
2021-05-25 01:30:00,28461.5,28929.240234375,28461.5,28910.859375,2352100000
2021-05-26 01:30:00,29056.279296875,29261.859375,29027.94921875,29166.009765625,2518500000
2021-05-27 01:30:00,28998.390625,29157.94921875,28950.720703125,29113.19921875,3805000000
2021-05-28 01:30:00,29219.4609375,29336.130859375,29033.720703125,29124.41015625,2591600000
2021-05-31 01:30:00,29225.4609375,29225.4609375,28909.51953125,29151.80078125,2188600000
2021-06-01 01:30:00,29159.060546875,29480.16015625,29036.44921875,29468.0,1832000000
2021-06-02 01:30:00,29414.640625,29490.609375,29208.73046875,29297.619140625,1933200000
2021-06-03 01:30:00,29365.3203125,29377.900390625,28902.669921875,28966.029296875,2241800000
2021-06-04 01:30:00,28837.94921875,29023.1796875,28737.970703125,28918.099609375,3054600000
2021-06-07 01:30:00,28985.599609375,29003.990234375,28615.609375,28787.279296875,2573200000
2021-06-08 01:30:00,28900.51953125,28979.19921875,28638.310546875,28781.380859375,1626900000
2021-06-09 01:30:00,28771.140625,28859.580078125,28687.689453125,28742.630859375,1807000000
2021-06-10 01:30:00,28792.01953125,28954.400390625,28664.939453125,28738.880859375,1940100000
2021-06-11 01:30:00,28864.900390625,28965.150390625,28743.8203125,28842.130859375,2038600000
2021-06-15 01:30:00,28946.439453125,28946.439453125,28453.48046875,28638.529296875,2376500000
2021-06-16 01:30:00,28609.369140625,28648.640625,28403.640625,28436.83984375,2053800000
2021-06-17 01:30:00,28240.880859375,28558.58984375,28216.08984375,28558.58984375,1888000000
2021-06-18 01:30:00,28586.0390625,28830.849609375,28532.080078125,28801.26953125,3761400000
2021-06-21 01:30:00,28501.640625,28590.220703125,28314.9296875,28489.0,2182700000
2021-06-22 01:30:00,28575.16015625,28579.0,28299.66015625,28309.759765625,1980100000
2021-06-23 01:30:00,28468.240234375,28893.7890625,28406.609375,28817.0703125,2293400000
2021-06-24 01:30:00,28865.4609375,28993.369140625,28782.33984375,28882.4609375,1723200000
2021-06-25 01:30:00,29002.669921875,29305.169921875,28971.599609375,29288.220703125,2149400000
2021-06-28 01:30:00,29366.490234375,29394.689453125,29209.4296875,29268.30078125,1512600000
2021-06-29 01:30:00,29291.890625,29291.890625,28924.609375,28994.099609375,2356500000
2021-06-30 01:30:00,29107.900390625,29146.279296875,28827.69921875,28827.94921875,2051500000
2021-07-02 01:30:00,28859.01953125,28859.01953125,28231.73046875,28310.419921875,2816200000
2021-07-05 01:30:00,28098.91015625,28338.7890625,28042.7109375,28143.5,1827200000
2021-07-06 01:30:00,28136.630859375,28151.349609375,27904.529296875,28072.859375,1904200000
2021-07-07 01:30:00,27777.810546875,27969.41015625,27703.41015625,27960.619140625,2040700000
2021-07-08 01:30:00,27881.5,27921.060546875,27110.619140625,27153.130859375,2948600000
2021-07-09 01:30:00,27131.5703125,27450.7890625,26861.869140625,27344.5390625,2500000000
2021-07-12 01:30:00,27672.69921875,27741.189453125,27420.349609375,27515.240234375,2054200000
2021-07-13 01:30:00,27694.029296875,28052.3203125,27612.689453125,27963.41015625,1995600000
2021-07-14 01:30:00,27965.390625,27965.390625,27708.7109375,27787.4609375,1865700000
2021-07-15 01:30:00,27801.400390625,28181.2109375,27741.08984375,27996.26953125,2081500000
2021-07-16 01:30:00,27972.560546875,28218.529296875,27878.529296875,28004.6796875,1968800000
2021-07-19 01:30:00,27786.5390625,27786.5390625,27397.2890625,27489.779296875,1874200000
