date,open,high,low,close,volume
2023-03-23 18:30:00,381.5,383.0,378.0,378.7,9934501
2023-03-26 18:30:00,377.95,384.4,376.35,380.2,10816352
2023-03-27 18:30:00,380.2,382.35,378.15,379.75,9170535
2023-03-28 18:30:00,380.2,384.0,377.15,382.75,10160322
2023-03-30 18:30:00,382.0,384.5,380.0,383.5,9511189
2023-04-02 18:30:00,384.0,384.0,378.5,378.9,7059200
2023-04-04 18:30:00,378.9,387.05,378.9,386.4,11608424
2023-04-05 18:30:00,386.65,390.3,384.2,387.35,12897667
2023-04-09 18:30:00,387.35,390.0,384.75,388.55,6783022
2023-04-10 18:30:00,388.55,398.1,388.0,396.0,18237451
2023-04-11 18:30:00,397.75,397.8,392.1,393.55,9747526
2023-04-12 18:30:00,395.5,396.6,393.7,395.6,6059044
2023-04-16 18:30:00,392.9,402.0,392.9,400.15,11041243
2023-04-17 18:30:00,400.0,402.0,397.0,398.5,9494641
2023-04-18 18:30:00,396.05,401.35,396.0,398.75,9744202
2023-04-19 18:30:00,400.0,402.65,397.7,400.3,6667781
2023-04-20 18:30:00,400.3,409.0,399.05,408.25,14252204
2023-04-23 18:30:00,410.0,410.0,404.2,408.7,5981760
2023-04-24 18:30:00,408.7,413.55,407.4,411.55,8840188
2023-04-25 18:30:00,412.0,413.0,409.05,412.25,7620723
2023-04-26 18:30:00,412.2,417.4,411.0,416.0,12614263
2023-04-27 18:30:00,418.0,428.25,413.7,425.55,12718721
2023-05-01 18:30:00,426.0,427.0,421.2,424.45,10253527
2023-05-02 18:30:00,424.0,428.5,422.05,427.15,7325483
2023-05-03 18:30:00,425.3,427.0,424.0,424.6,7984933
2023-05-04 18:30:00,425.95,431.9,424.35,428.75,12412416
2023-05-07 18:30:00,431.0,433.45,429.35,431.45,7243636
2023-05-08 18:30:00,432.8,433.15,421.5,423.8,9992962
2023-05-09 18:30:00,423.95,426.35,422.2,425.35,9754485
2023-05-10 18:30:00,427.25,427.4,418.9,420.4,15982423
2023-05-11 18:30:00,420.4,422.7,416.05,420.45,11135894
2023-05-14 18:30:00,420.0,428.7,419.05,427.8,9151102
2023-05-15 18:30:00,430.0,430.0,423.5,423.95,7994197
2023-05-16 18:30:00,424.15,428.95,422.6,427.6,9479691
2023-05-17 18:30:00,430.0,432.45,418.1,419.7,23995166
2023-05-18 18:30:00,420.95,423.1,411.35,419.85,25767521
2023-05-21 18:30:00,421.95,425.75,419.1,424.75,15421680
2023-05-22 18:30:00,426.0,431.2,424.2,429.15,8732608
2023-05-23 18:30:00,428.3,434.75,427.0,433.5,11479706
2023-05-24 18:30:00,436.95,442.45,434.8,441.15,18204464
2023-05-25 18:30:00,443.4,444.75,439.5,443.6,12995706
2023-05-28 18:30:00,445.0,451.8,444.1,449.1,19826254
2023-05-29 18:30:00,441.0,451.45,441.0,449.9,18900002
2023-05-30 18:30:00,449.3,452.0,442.45,445.5,14272292
