date,open,high,low,close,volume
2021-10-12 18:30:00,462.9,523.85,462.9,506.9,197949387
2021-10-13 18:30:00,530.0,530.0,492.0,497.6,103630901
2021-10-17 18:30:00,507.0,525.0,503.6,509.6,72322623
2021-10-18 18:30:00,512.45,517.4,476.05,481.9,57428637
2021-10-19 18:30:00,481.8,497.0,471.25,486.9,55444814
2021-10-20 18:30:00,491.75,510.4,485.75,508.0,52608672
2021-10-21 18:30:00,509.9,510.7,487.4,490.9,42742785
2021-10-24 18:30:00,493.9,496.0,473.25,479.9,33107841
2021-10-25 18:30:00,483.5,510.0,483.25,508.65,58027770
2021-10-26 18:30:00,505.75,506.55,496.0,497.9,30361263
2021-10-27 18:30:00,493.9,493.9,478.55,481.05,25182748
2021-10-28 18:30:00,482.0,491.6,467.7,483.7,31054342
2021-10-31 18:30:00,486.45,489.7,469.8,485.7,34315690
2021-11-01 18:30:00,506.5,510.0,486.5,487.85,51580720
2021-11-02 18:30:00,483.8,495.0,481.6,484.9,22950198
2021-11-03 18:30:00,489.8,493.55,488.0,489.7,5531940
2021-11-07 18:30:00,493.9,504.85,490.25,501.4,31736426
2021-11-08 18:30:00,505.0,520.65,503.5,509.65,50458762
2021-11-09 18:30:00,506.25,515.95,500.2,510.75,26615777
2021-11-10 18:30:00,510.0,519.0,501.0,503.45,29256213
2021-11-11 18:30:00,506.95,509.55,497.35,507.05,20731808
2021-11-14 18:30:00,506.25,514.9,504.5,505.45,18014977
2021-11-15 18:30:00,506.9,526.85,506.2,519.05,55897781
2021-11-16 18:30:00,520.25,536.7,520.25,530.15,48463415
2021-11-17 18:30:00,531.45,534.2,501.3,509.7,47197742
2021-11-21 18:30:00,512.25,512.25,478.4,486.1,40044849
2021-11-22 18:30:00,484.4,499.35,477.0,495.5,27553684
2021-11-23 18:30:00,499.0,501.8,485.3,488.65,20915837
2021-11-24 18:30:00,490.8,495.15,486.5,492.75,15336539
2021-11-25 18:30:00,486.0,486.75,458.0,460.2,51787989
2021-11-28 18:30:00,457.0,470.75,443.1,461.45,42819150
2021-11-29 18:30:00,466.55,478.0,455.65,458.6,35471800
2021-11-30 18:30:00,467.85,478.4,463.55,475.25,28256188
