symbol,rows,large_drop_winrate,large_drop_trades,best_drop_threshold,vol_drop_winrate,vol_drop_trades,rsi2_winrate,rsi2_trades,ml_accuracy,ml_auc,predictability_score,recommendation
ADANIENSOL,650,0.5882,17,-0.05,0.2857,7,0.25,4,0.5273,0.6119,48.49,LOW
IREDA,585,0.6667,3,-0.07,0.2857,7,0.6667,3,0.4082,0.4522,48.24,LOW
LT,5906,0.5,22,-0.07,0.4118,17,0.6224,98,0.4018,0.4802,46.85,LOW
DMART,2239,0.5294,17,-0.05,0.3,10,0.6216,37,0.4683,0.4344,46.52,LOW
NYKAA,1093,0.4286,14,-0.06,0.4,5,0.5714,14,0.4742,0.5033,45.38,LOW
SWIGGY,349,0.5556,45,-0.03,0.0,3,0.6667,3,0.3333,0.4128,42.36,LOW
TATATECH,579,0.5238,21,-0.03,0.0,3,0.0,0,0.6522,0.5475,42.33,LOW
HYUNDAI,365,0.6667,3,-0.05,0.0,0,0.3333,3,0.4737,0.4253,41.86,LOW
PREMIERENE,399,0.52,25,-0.04,0.5,6,0.0,1,0.4194,0.3037,40.64,LOW
MANKIND,724,0.4118,34,-0.03,0.0,0,0.4286,7,0.4435,0.5415,39.25,LOW
UNITDSPR,460,0.6667,3,-0.05,0.0,1,0.0,0,0.2778,0.3961,33.19,LOW
