contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
SPY260414P00624000,2026-04-13 19:53:59+00:00,624.0,0.01,0.0,0.01,-0.04,-80.00001,3866.0,602.0,0.57812921875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00625000,2026-04-13 19:36:25+00:00,625.0,0.01,0.0,0.01,-0.060000002,-85.71429,3452.0,788.0,0.5625043750000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00626000,2026-04-13 19:20:16+00:00,626.0,0.01,0.0,0.01,-0.04,-80.00001,102.0,481.0,0.5625043750000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00627000,2026-04-13 19:38:53+00:00,627.0,0.01,0.0,0.01,-0.04,-80.00001,100.0,292.0,0.5625043750000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00628000,2026-04-13 16:56:16+00:00,628.0,0.02,0.0,0.01,-0.07000001,-77.77779,30.0,362.0,0.5468795312500001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00629000,2026-04-13 18:10:33+00:00,629.0,0.02,0.0,0.01,-0.030000001,-60.0,181.0,1302.0,0.5312546875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00630000,2026-04-13 19:58:34+00:00,630.0,0.01,0.0,0.01,-0.03,-75.0,344.0,2607.0,0.5312546875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00631000,2026-04-13 18:53:12+00:00,631.0,0.02,0.0,0.01,-0.030000001,-60.0,1864.0,5647.0,0.51562984375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00632000,2026-04-13 19:56:51+00:00,632.0,0.01,0.01,0.02,-0.060000002,-85.71429,2195.0,863.0,0.5625043750000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00633000,2026-04-13 19:23:16+00:00,633.0,0.01,0.01,0.02,-0.04,-80.00001,576.0,210.0,0.5546919531250001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00634000,2026-04-13 19:11:36+00:00,634.0,0.02,0.01,0.02,-0.030000001,-60.0,334.0,509.0,0.5390671093750001,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00635000,2026-04-13 19:58:21+00:00,635.0,0.01,0.01,0.02,-0.04,-80.00001,473.0,946.0,0.5312546875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00636000,2026-04-13 20:10:57+00:00,636.0,0.01,0.01,0.02,-0.060000002,-85.71429,243.0,261.0,0.523442265625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00637000,2026-04-13 20:11:43+00:00,637.0,0.01,0.01,0.02,-0.049999997,-83.333336,202.0,376.0,0.51562984375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00638000,2026-04-13 18:01:52+00:00,638.0,0.03,0.01,0.02,-0.060000002,-66.666664,616.0,504.0,0.500005,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00639000,2026-04-13 20:09:32+00:00,639.0,0.02,0.01,0.02,-0.05,-71.42857,208.0,449.0,0.507817421875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00640000,2026-04-13 20:02:18+00:00,640.0,0.01,0.01,0.02,-0.060000002,-85.71429,619.0,43376.0,0.49609878906250005,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00641000,2026-04-13 19:59:26+00:00,641.0,0.01,0.01,0.02,-0.060000002,-85.71429,204.0,457.0,0.48828636718750007,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00642000,2026-04-13 19:18:50+00:00,642.0,0.01,0.01,0.02,-0.060000002,-85.71429,702.0,786.0,0.476567734375,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00643000,2026-04-13 19:18:50+00:00,643.0,0.02,0.01,0.02,-0.05,-71.42857,929.0,1107.0,0.4687553125,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00644000,2026-04-13 19:37:54+00:00,644.0,0.02,0.01,0.02,-0.07000001,-77.77779,194.0,246.0,0.45703667968750006,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00645000,2026-04-13 19:55:34+00:00,645.0,0.01,0.01,0.02,-0.07,-87.5,5747.0,5104.0,0.445318046875,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00646000,2026-04-13 20:12:29+00:00,646.0,0.01,0.01,0.02,-0.07,-87.5,4388.0,704.0,0.437505625,False,REGULAR,USD,2026-04-14,SPY
SPY260414P00647000,2026-04-13 20:06:57+00:00,647.0,0.02,0.01,0.02,-0.08,-80.00001,833.0,1262.0,0.42578699218750005,False,REGULAR,USD,2026-04-14,SPY
