contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,symbol
SPY260414C00698000,2026-04-13 20:14:29+00:00,698.0,0.03,0.02,0.03,0.01,50.0,1070.0,571.0,0.15235222656250003,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00699000,2026-04-13 20:12:52+00:00,699.0,0.02,0.02,0.03,-0.01,-33.333336,1036.0,1059.0,0.16211775390625,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00700000,2026-04-13 20:14:42+00:00,700.0,0.02,0.02,0.03,-0.01,-33.333336,4949.0,2615.0,0.17383638671875,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00705000,2026-04-13 20:14:21+00:00,705.0,0.02,0.01,0.02,0.01,100.0,135.0,1804.0,0.2148516015625,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00710000,2026-04-13 13:30:01+00:00,710.0,0.02,0.0,0.01,0.01,100.0,10.0,365.0,0.242195078125,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00715000,2026-04-13 13:30:00+00:00,715.0,0.01,0.0,0.01,-0.01,-50.0,1.0,210.0,0.2890696093749999,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00720000,2026-04-10 14:06:14+00:00,720.0,0.01,0.0,0.01,0.0,0.0,201.0,90.0,0.3320379296875,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00725000,2026-04-10 16:10:41+00:00,725.0,0.01,0.0,0.01,0.0,0.0,9.0,86.0,0.37500625,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00730000,2026-04-09 19:31:53+00:00,730.0,0.01,,0.01,0.0,0.0,,198.0,0.414068359375,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00735000,2026-04-09 19:21:39+00:00,735.0,0.01,,0.01,0.0,0.0,,21.0,0.45313046875,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00740000,2026-04-09 18:37:18+00:00,740.0,0.01,,0.01,0.0,0.0,,12.0,0.500005,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00745000,2026-04-09 18:53:16+00:00,745.0,0.01,,0.01,0.0,0.0,,87.0,0.5390671093750001,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00750000,2026-04-07 15:46:42+00:00,750.0,0.01,,0.01,0.0,0.0,,1.0,0.57812921875,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00755000,2026-04-09 15:19:15+00:00,755.0,0.01,,0.01,0.0,0.0,,16.0,0.6171913281250001,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00760000,2026-04-07 15:22:13+00:00,760.0,0.01,,0.01,0.0,0.0,,2.0,0.6562534375000001,False,REGULAR,USD,2026-04-14,SPY
SPY260414C00780000,2026-04-08 17:15:03+00:00,780.0,0.01,,0.01,0.0,0.0,,2.0,0.804689453125,False,REGULAR,USD,2026-04-14,SPY
SPY260415C00530000,2026-04-09 19:58:50+00:00,530.0,150.3,154.81,157.63,0.0,0.0,,1.0,1.3886749316406248,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00560000,2026-04-07 14:11:44+00:00,560.0,93.26,124.82,127.64,0.0,0.0,,1.0,1.1308637207031251,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00575000,2026-04-02 16:36:11+00:00,575.0,79.5,109.82,112.64,0.0,0.0,4.0,4.0,0.99804689453125,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00580000,2026-04-13 19:56:09+00:00,580.0,106.1,104.82,107.64,10.650002,11.157676,20.0,22.0,0.95507857421875,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00585000,2026-04-09 13:52:59+00:00,585.0,90.46,99.82,102.64,0.0,0.0,,1.0,0.911133701171875,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00611000,2026-04-07 15:55:12+00:00,611.0,44.65,73.84,76.66,0.0,0.0,,2.0,0.70117486328125,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00612000,2026-04-09 17:05:17+00:00,612.0,68.47,72.84,75.66,0.0,0.0,,4.0,0.69336244140625,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00620000,2026-04-13 19:49:38+00:00,620.0,64.15,64.84,67.67,3.3900032,5.579334,4.0,2.0,0.6269568554687501,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00625000,2026-04-08 14:13:31+00:00,625.0,50.58,59.85,62.67,0.0,0.0,1.0,1.0,0.585941640625,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00630000,2026-04-10 13:55:39+00:00,630.0,51.05,54.85,57.67,0.0,0.0,1.0,1.0,0.5429733203125001,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00632000,2026-04-07 18:13:23+00:00,632.0,28.05,52.85,55.68,0.0,0.0,,3.0,0.5273484765625001,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00633000,2026-04-07 18:13:23+00:00,633.0,27.2,51.85,54.68,0.0,0.0,,5.0,0.5185595019531251,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00635000,2026-04-13 15:21:23+00:00,635.0,44.96,49.86,52.68,5.290001,13.335017,7.0,7.0,0.5039112109375,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00636000,2026-04-08 16:45:41+00:00,636.0,40.91,48.86,51.68,0.0,0.0,,1.0,0.7666038964843751,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00637000,2026-04-13 19:42:28+00:00,637.0,47.52,47.86,50.68,10.119999,27.058819,5.0,3.0,0.7546411254882812,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00638000,2026-04-13 19:52:12+00:00,638.0,47.54,46.86,49.68,9.670002,25.534729,20.0,16.0,0.7426783544921874,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00639000,2026-04-08 18:43:33+00:00,639.0,35.78,45.86,48.68,0.0,0.0,,3.0,0.7307155834960937,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00640000,2026-04-13 20:06:57+00:00,640.0,46.33,44.86,47.69,5.450001,13.331704,14.0,16.0,0.7199735034179688,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00641000,2026-04-13 14:40:05+00:00,641.0,38.68,43.86,46.69,17.99,86.95022,2.0,42.0,0.7077665942382813,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00642000,2026-04-13 14:37:04+00:00,642.0,37.59,42.87,45.69,-1.8499985,-4.6906657,3.0,17.0,0.6958038232421876,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00643000,2026-04-13 13:53:47+00:00,643.0,35.51,41.87,44.69,15.819998,80.34534,3.0,,0.6835969140625001,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00644000,2026-04-13 18:06:39+00:00,644.0,38.51,40.87,43.69,1.0099983,2.6933289,1.0,3.0,0.6716341430664063,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00645000,2026-04-13 19:58:42+00:00,645.0,41.1,39.87,42.69,5.0599976,14.039948,9.0,35.0,0.6594272338867189,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00646000,2026-04-13 19:55:57+00:00,646.0,40.12,38.87,41.69,6.1899986,18.243439,29.0,46.0,0.6472203247070312,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00647000,2026-04-13 20:05:40+00:00,647.0,39.11,37.88,40.7,9.530001,32.217716,5.0,3.0,0.6362341064453125,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00648000,2026-04-13 20:00:18+00:00,648.0,38.04,36.88,39.7,23.12,154.95978,3.0,9.0,0.6237830590820312,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00649000,2026-04-13 19:45:30+00:00,649.0,35.27,35.88,38.7,7.99,29.288857,8.0,9.0,0.611576149902344,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00650000,2026-04-13 19:50:57+00:00,650.0,35.31,36.14,36.49,5.9800014,20.388685,12.0,195.0,0.42969320312500003,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00651000,2026-04-13 15:53:25+00:00,651.0,28.77,33.89,36.71,-1.4300003,-4.7351003,12.0,34.0,0.58789474609375,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00652000,2026-04-13 13:55:21+00:00,652.0,26.89,32.89,35.72,-1.6000004,-5.616007,4.0,91.0,0.5766643896484375,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00653000,2026-04-13 19:36:21+00:00,653.0,31.45,33.15,33.5,4.09,14.94883,17.0,154.0,0.4018614501953125,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00654000,2026-04-13 17:03:47+00:00,654.0,28.72,32.16,32.51,0.8499985,3.0498688,15.0,309.0,0.3940490283203125,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00655000,2026-04-13 17:16:24+00:00,655.0,27.44,31.16,31.52,2.8000011,11.363642,19.0,443.0,0.3857483300781249,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00656000,2026-04-13 13:44:43+00:00,656.0,21.37,30.17,30.52,-2.75,-11.401326,11.0,302.0,0.3754945263671875,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00657000,2026-04-13 17:38:26+00:00,657.0,25.63,29.16,29.51,1.9499989,8.234792,10.0,417.0,0.3635317553710938,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00658000,2026-04-13 19:04:42+00:00,658.0,25.62,28.18,28.53,3.0600014,13.563835,10.0,534.0,0.3569400244140625,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00659000,2026-04-13 15:49:47+00:00,659.0,20.88,27.19,27.54,-0.6000004,-2.793298,90.0,173.0,0.34839518798828123,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00660000,2026-04-13 19:56:09+00:00,660.0,26.24,26.18,26.54,6.24,31.2,91.0,997.0,0.33789724609375,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00661000,2026-04-13 20:04:46+00:00,661.0,25.14,25.19,25.54,5.5199986,28.13455,21.0,206.0,0.3276434423828125,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00662000,2026-04-13 19:51:13+00:00,662.0,23.18,24.22,24.57,4.5699997,24.556688,14.0,205.0,0.3217841259765625,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00663000,2026-04-13 18:47:33+00:00,663.0,20.4,23.24,23.59,2.6499996,14.929576,36.0,171.0,0.3142158422851562,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00664000,2026-04-13 19:59:56+00:00,664.0,22.45,22.23,22.58,6.050001,36.89025,31.0,228.0,0.3020089331054688,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00665000,2026-04-13 20:09:00+00:00,665.0,21.49,21.25,21.6,5.449999,33.977547,530.0,1209.0,0.2941965112304687,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00666000,2026-04-13 20:06:30+00:00,666.0,20.59,20.27,20.62,5.5699997,37.083885,17.0,380.0,0.28613995117187496,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00667000,2026-04-13 19:51:36+00:00,667.0,18.37,19.3,19.64,4.500001,32.44413,28.0,317.0,0.2775951147460937,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00668000,2026-04-13 19:16:02+00:00,668.0,15.75,18.31,18.67,2.9300003,22.854918,36.0,375.0,0.27027096923828126,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00669000,2026-04-13 18:52:12+00:00,669.0,14.79,17.34,17.7,2.3900003,19.274197,14.0,276.0,0.2624585473632813,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00670000,2026-04-13 20:09:32+00:00,670.0,16.61,16.37,16.73,5.4400005,48.701885,185.0,1056.0,0.2541578491210938,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00671000,2026-04-13 19:15:50+00:00,671.0,12.87,15.41,15.77,2.4700003,23.750004,40.0,417.0,0.24683370361328127,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00672000,2026-04-13 20:03:03+00:00,672.0,14.35,14.47,14.81,4.9800005,53.148354,96.0,372.0,0.2387771435546875,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00673000,2026-04-13 19:59:13+00:00,673.0,13.74,13.5,13.86,4.88,55.07901,125.0,557.0,0.231452998046875,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00674000,2026-04-13 20:07:08+00:00,674.0,12.83,12.56,12.91,4.7200003,58.19976,1073.0,2074.0,0.22339643798828124,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00675000,2026-04-13 20:14:20+00:00,675.0,11.78,11.62,11.98,4.54,62.707184,2096.0,4736.0,0.21656056884765623,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00676000,2026-04-13 19:56:43+00:00,676.0,11.04,10.7,11.05,4.44,67.27273,751.0,1392.0,0.20899228515624996,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00677000,2026-04-13 20:13:43+00:00,677.0,10.09,9.8,10.14,4.21,71.59864,3182.0,3562.0,0.20215641601562498,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00678000,2026-04-13 20:10:00+00:00,678.0,9.16,8.91,9.23,3.9499998,75.815735,3310.0,955.0,0.19446606323242188,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00679000,2026-04-13 20:06:30+00:00,679.0,8.33,8.04,8.35,3.73,81.08696,4899.0,1521.0,0.1878743322753906,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00680000,2026-04-13 20:14:46+00:00,680.0,7.3,7.2,7.49,3.2600002,80.69308,11321.0,3395.0,0.18140467041015623,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00681000,2026-04-13 20:14:31+00:00,681.0,6.5,6.35,6.65,3.02,86.78161,6342.0,2528.0,0.174812939453125,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00682000,2026-04-13 20:14:51+00:00,682.0,5.66,5.61,5.84,2.6799998,89.93288,9038.0,2264.0,0.16846534667968754,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00683000,2026-04-13 20:13:01+00:00,683.0,4.93,4.76,5.08,2.57,108.89831,10170.0,1736.0,0.16327741027832032,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00684000,2026-04-13 20:10:58+00:00,684.0,4.12,4.09,4.3,2.01,95.260666,8922.0,2023.0,0.15515981567382814,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00685000,2026-04-13 20:14:44+00:00,685.0,3.62,3.4,3.61,1.8999999,110.4651,13773.0,2667.0,0.14954463745117189,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00686000,2026-04-13 20:14:33+00:00,686.0,2.89,2.85,2.87,1.5000001,107.91368,7032.0,1064.0,0.13916876464843753,True,REGULAR,USD,2026-04-15,SPY
SPY260415C00687000,2026-04-13 20:14:18+00:00,687.0,2.28,2.29,2.32,1.16,103.57143,4784.0,1140.0,0.1355066918945313,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00688000,2026-04-13 20:14:42+00:00,688.0,1.83,1.8,1.83,0.92,101.0989,3837.0,731.0,0.13172255004882813,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00689000,2026-04-13 20:14:42+00:00,689.0,1.41,1.39,1.42,0.68999994,95.83332,3872.0,1215.0,0.1289149609375,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00690000,2026-04-13 20:14:51+00:00,690.0,1.06,1.05,1.07,0.50999993,92.72726,10185.0,5571.0,0.12610737182617188,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00691000,2026-04-13 20:14:34+00:00,691.0,0.81,0.77,0.79,0.37,84.09091,2626.0,393.0,0.12378805908203125,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00692000,2026-04-13 20:14:53+00:00,692.0,0.57,0.56,0.58,0.22999999,67.64705,2837.0,1075.0,0.12256736816406251,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00693000,2026-04-13 20:14:49+00:00,693.0,0.41,0.41,0.42,0.16,64.0,2886.0,801.0,0.12195702270507813,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00694000,2026-04-13 20:14:53+00:00,694.0,0.31,0.29,0.31,0.15,93.75001,2400.0,967.0,0.12268943725585937,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00695000,2026-04-13 20:14:51+00:00,695.0,0.21,0.21,0.22,0.06999999,49.999992,2994.0,5953.0,0.12256736816406251,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00696000,2026-04-13 20:14:58+00:00,696.0,0.16,0.15,0.16,0.059999995,59.999996,1379.0,1477.0,0.12378805908203125,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00697000,2026-04-13 20:14:46+00:00,697.0,0.12,0.11,0.12,0.06999999,139.99997,1897.0,678.0,0.125985302734375,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00698000,2026-04-13 20:14:34+00:00,698.0,0.09,0.09,0.1,0.030000005,50.000008,1723.0,401.0,0.13037979003906247,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00699000,2026-04-13 20:10:38+00:00,699.0,0.06,0.07,0.08,0.03,100.0,308.0,371.0,0.133797724609375,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00700000,2026-04-13 20:14:57+00:00,700.0,0.06,0.05,0.06,0.02,50.0,5841.0,1566.0,0.13575083007812502,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00705000,2026-04-13 20:10:22+00:00,705.0,0.03,0.02,0.03,0.01,50.0,228.0,957.0,0.1601646484375,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00710000,2026-04-13 20:07:11+00:00,710.0,0.01,0.01,0.02,-0.01,-50.0,4.0,419.0,0.18555501953124998,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00715000,2026-04-13 19:42:04+00:00,715.0,0.01,0.01,0.02,0.0,0.0,59.0,144.0,0.21875781249999998,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00720000,2026-04-13 20:11:04+00:00,720.0,0.01,0.0,0.01,0.0,0.0,41.0,188.0,0.23438265625,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00725000,2026-04-13 18:00:33+00:00,725.0,0.01,0.0,0.01,0.0,0.0,415.0,243.0,0.26563234375,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00730000,2026-04-13 17:42:20+00:00,730.0,0.01,0.0,0.01,0.0,0.0,42.0,30.0,0.29688203124999996,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00735000,2026-04-13 20:04:29+00:00,735.0,0.01,,0.01,0.0,0.0,5.0,108.0,0.32031929687499994,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00740000,2026-04-13 17:57:15+00:00,740.0,0.01,,0.01,-0.01,-50.0,1.0,101.0,0.35156898437499995,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00745000,2026-04-09 19:00:01+00:00,745.0,0.01,0.0,0.01,0.0,0.0,2391.0,2268.0,0.38281867187499996,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00755000,2026-04-06 14:38:06+00:00,755.0,0.02,0.0,0.01,0.0,0.0,,607.0,0.437505625,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00770000,2026-04-08 18:43:29+00:00,770.0,0.01,0.0,0.01,0.0,0.0,1.0,1.0,0.51562984375,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00775000,2026-04-08 18:43:32+00:00,775.0,0.01,,0.01,0.0,0.0,,1.0,0.5468795312500001,False,REGULAR,USD,2026-04-15,SPY
SPY260415C00800000,2026-04-10 17:34:28+00:00,800.0,0.01,,0.01,0.0,0.0,,1.0,0.6718782812500002,False,REGULAR,USD,2026-04-15,SPY
SPY260416C00600000,2026-04-07 15:13:08+00:00,600.0,53.18,84.9,87.73,0.0,0.0,1.0,1.0,0.6835969140625001,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00620000,2026-04-13 16:14:19+00:00,620.0,61.1,64.93,67.75,21.359997,53.749363,2.0,1.0,0.5449264257812501,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00625000,2026-04-08 15:39:58+00:00,625.0,50.16,59.93,62.76,0.0,0.0,5.0,3.0,0.5097705273437501,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00630000,2026-04-09 18:50:04+00:00,630.0,48.39,54.94,57.76,0.0,0.0,1.0,3.0,0.6928741650390625,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00635000,2026-04-13 16:22:27+00:00,635.0,46.52,49.96,52.78,7.119999,18.071062,4.0,29.0,0.6459996337890624,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00638000,2026-04-13 19:43:08+00:00,638.0,46.32,46.97,49.79,4.8899994,11.80304,5.0,3.0,0.6171913281250001,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00639000,2026-04-09 14:18:14+00:00,639.0,36.4,45.97,48.79,0.0,0.0,1.0,28.0,0.6074258007812501,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00640000,2026-04-13 19:56:57+00:00,640.0,46.48,44.97,47.8,11.07,31.262356,1.0,92.0,0.5983926879882813,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00641000,2026-04-13 19:49:39+00:00,641.0,43.58,43.98,46.8,8.310001,23.561104,12.0,52.0,0.5883830224609375,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00642000,2026-04-13 17:50:11+00:00,642.0,40.36,42.98,45.8,22.45,125.34897,6.0,1.0,0.5784954260253907,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00643000,2026-04-09 19:01:36+00:00,643.0,35.71,41.99,44.81,0.0,0.0,4.0,6.0,0.569340244140625,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00644000,2026-04-13 15:05:54+00:00,644.0,34.68,40.99,43.81,-2.5600014,-6.8743315,2.0,7.0,0.5593305786132813,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00645000,2026-04-13 17:24:58+00:00,645.0,37.58,41.21,41.64,2.7800026,7.988513,2.0,159.0,0.41699801757812494,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00646000,2026-04-09 16:28:19+00:00,646.0,34.79,39.0,41.82,0.0,0.0,1.0,19.0,0.5401657312011721,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00647000,2026-04-10 19:59:29+00:00,647.0,32.98,38.01,40.83,0.0,0.0,,1.0,0.5308884802246094,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00648000,2026-04-10 19:51:10+00:00,648.0,31.65,37.01,39.83,0.0,0.0,14.0,87.0,0.5207567456054687,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00649000,2026-04-13 19:45:30+00:00,649.0,35.42,36.02,38.84,19.299997,119.72703,4.0,38.0,0.5114794946289063,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00650000,2026-04-13 19:54:05+00:00,650.0,35.84,36.25,36.67,6.2700005,21.203926,12.0,208.0,0.37915659912109373,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00651000,2026-04-13 19:46:49+00:00,651.0,33.29,34.04,36.86,7.2400017,27.792715,1.0,45.0,0.49268085449218757,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00652000,2026-04-13 13:56:17+00:00,652.0,27.2,33.05,35.87,-3.119999,-10.290234,3.0,26.0,0.4831594653320313,True,REGULAR,USD,2026-04-16,SPY
SPY260416C00653000,2026-04-10 19:39:58+00:00,653.0,26.93,32.06,34.88,0.0,0.0,,28.0,0.47363807617187503,True,REGULAR,USD,2026-04-16,SPY
